gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class,engagement_score,Class_num
M,Kw,Kuwait,MiddleSchool,G-08,B,Spanish,S,Father,62,61,82,40,Yes,Bad,Under_7,M,61.77,1
M,Kw,Kuwait,MiddleSchool,G-08,A,Spanish,S,Mum,72,83,12,90,Yes,Good,Under_7,H,64.72,2
M,Kw,Kuwait,MiddleSchool,G-08,B,Spanish,S,Mum,87,81,22,70,Yes,Bad,Under_7,H,65.42,2
M,Kw,Kuwait,MiddleSchool,G-08,A,Spanish,S,Mum,72,90,12,30,No,Bad,Under_7,M,51.19,1
M,Kw,Kuwait,MiddleSchool,G-08,B,Spanish,S,Father,2,11,62,30,No,Bad,Under_7,L,26.49,0
M,Kw,Kuwait,MiddleSchool,G-08,A,Spanish,S,Father,5,3,2,10,Yes,Good,Under_7,L,4.81,0
M,Kw,Kuwait,HighSchool,G-11,B,Math,S,Mum,73,84,77,81,Yes,Good,Above_7,H,79.51,2
M,Kw,Kuwait,MiddleSchool,G-08,A,Spanish,S,Father,5,17,21,10,No,Bad,Above_7,L,13.2,0
M,Iran,Iran,MiddleSchool,G-08,A,Spanish,S,Mum,51,42,12,29,No,Bad,Above_7,M,33.56,1
M,Syria,Jordan,MiddleSchool,G-08,A,Spanish,S,Father,9,7,21,20,Yes,Good,Above_7,L,14.22,0
M,Syria,Syria,MiddleSchool,G-07,A,Quran,F,Father,19,72,15,50,Yes,Good,Above_7,M,39.26,1
F,Jordan,Jordan,MiddleSchool,G-07,B,Science,S,Mum,32,80,58,46,Yes,Good,Above_7,M,54.48,1
M,Kw,Kuwait,MiddleSchool,G-07,B,Science,S,Mum,32,60,58,66,Yes,Good,Above_7,M,54.53,1
M,Kw,Kuwait,MiddleSchool,G-07,B,Science,S,Father,12,8,18,26,No,Bad,Above_7,L,15.99,0
M,Jordan,Jordan,MiddleSchool,G-07,B,Science,S,Father,52,10,13,6,No,Bad,Above_7,L,20.12,0
M,Kw,Kuwait,MiddleSchool,G-07,B,Science,S,Father,72,80,58,66,Yes,Good,Above_7,M,69.58,1
F,Kw,Kuwait,MiddleSchool,G-07,B,Science,S,Mum,72,80,58,66,Yes,Good,Above_7,M,69.58,1
M,Egypt,Egypt,MiddleSchool,G-07,B,Science,S,Mum,92,80,88,76,Yes,Good,Under_7,H,84.78,2
M,Kw,Kuwait,MiddleSchool,G-07,B,Science,S,Mum,72,80,98,96,Yes,Bad,Under_7,H,87.44,2
M,Egypt,Egypt,MiddleSchool,G-07,B,Science,S,Father,72,80,58,86,Yes,Good,Under_7,M,74.68,1
M,Kw,Kuwait,MiddleSchool,G-07,B,Science,S,Father,22,20,18,6,No,Bad,Above_7,L,16.42,0
M,Egypt,Kuwait,MiddleSchool,G-07,B,Science,S,Father,12,20,38,46,No,Bad,Above_7,M,29.22,1
M,Kw,Kuwait,MiddleSchool,G-07,B,IT,S,Mum,70,92,83,85,Yes,Bad,Under_7,H,83.33,2
F,Kw,Kuwait,MiddleSchool,G-06,A,IT,S,Father,50,40,52,66,Yes,Bad,Under_7,M,52.45,1
F,Kw,Kuwait,MiddleSchool,G-06,A,Science,S,Father,80,94,62,77,Yes,Good,Under_7,H,78.94,2
F,Kw,Kuwait,MiddleSchool,G-06,A,Math,S,Father,87,48,82,96,No,Bad,Above_7,M,79.02,1
F,Kw,Kuwait,MiddleSchool,G-06,A,Quran,S,Father,70,40,2,16,No,Bad,Above_7,L,31.94,0
M,Kw,Kuwait,lowerlevel,G-04,A,IT,S,Father,65,86,62,40,No,Good,Above_7,M,63.73,1
M,Kw,Kuwait,lowerlevel,G-04,A,Math,S,Father,15,6,32,40,Yes,Good,Under_7,H,23.38,2
M,Egypt,Egypt,lowerlevel,G-04,A,English,S,Mum,19,74,32,17,No,Good,Above_7,L,35.68,0
F,Kw,Kuwait,lowerlevel,G-04,A,Science,S,Father,69,76,82,94,No,Bad,Under_7,M,81.08,1
M,Kw,Kuwait,lowerlevel,G-04,A,Arabic,S,Father,39,26,12,44,No,Bad,Above_7,L,30.35,0
M,Kw,Kuwait,lowerlevel,G-04,A,English,S,Father,59,97,42,70,Yes,Good,Under_7,H,67.56,2
M,Kw,Kuwait,lowerlevel,G-04,A,History,S,Father,10,17,12,40,Yes,Good,Under_7,H,19.8,2
F,Kw,Kuwait,lowerlevel,G-04,A,History,S,Mum,80,87,72,60,No,Good,Under_7,H,75.39,2
F,Kw,Kuwait,lowerlevel,G-04,A,History,S,Father,70,99,66,65,No,Good,Under_7,M,75.66,1
F,Kw,Kuwait,lowerlevel,G-04,A,History,S,Father,80,97,86,95,Yes,Good,Under_7,M,90.41,1
M,Kw,Kuwait,lowerlevel,G-04,A,English,S,Mum,69,34,12,17,No,Bad,Above_7,L,32.98,0
M,Kw,Kuwait,lowerlevel,G-04,A,History,S,Father,10,17,12,14,No,Bad,Above_7,L,13.17,0
M,Kw,Kuwait,lowerlevel,G-04,A,History,S,Father,61,97,82,64,Yes,Bad,Above_7,M,76.73,1
F,Kw,Kuwait,lowerlevel,G-04,A,History,S,Mum,21,27,52,34,Yes,Good,Above_7,M,33.75,1
M,Egypt,Egypt,lowerlevel,G-04,A,Math,S,Mum,49,94,42,7,No,Bad,Above_7,M,48.23,1
F,Jordan,Jordan,MiddleSchool,G-06,A,English,F,Mum,70,64,42,32,No,Bad,Under_7,M,52.28,1
F,Jordan,Jordan,MiddleSchool,G-06,A,English,S,Mum,79,84,82,37,No,Bad,Under_7,H,71.06,2
M,Jordan,Jordan,MiddleSchool,G-06,A,English,F,Father,19,80,12,17,Yes,Good,Above_7,M,32.09,1
M,Jordan,Jordan,MiddleSchool,G-06,A,English,S,Father,11,70,32,29,Yes,Good,Above_7,M,35.73,1
M,Jordan,Jordan,MiddleSchool,G-06,A,English,F,Father,10,8,10,10,Yes,Bad,Above_7,M,9.37,1
M,Jordan,Jordan,MiddleSchool,G-06,A,English,S,Father,18,28,40,20,Yes,Bad,Above_7,M,26.62,1
F,Jordan,Jordan,MiddleSchool,G-06,A,English,F,Mum,90,84,52,30,No,Good,Under_7,H,64.38,2
F,Jordan,Jordan,MiddleSchool,G-06,A,English,S,Mum,92,81,32,36,No,Good,Under_7,M,60.55,1
M,Jordan,Jordan,MiddleSchool,G-06,A,English,F,Father,42,21,2,16,No,Bad,Under_7,M,20.14,1
M,Jordan,Jordan,MiddleSchool,G-06,A,English,S,Father,22,20,6,26,No,Bad,Under_7,H,18.46,2
F,Lebanon,Lebanon,MiddleSchool,G-06,A,English,F,Mum,95,82,82,70,Yes,Good,Under_7,H,82.98,2
F,Lebanon,Lebanon,MiddleSchool,G-06,A,English,S,Mum,90,62,80,60,Yes,Good,Under_7,H,73.62,2
M,Palestine,Jordan,MiddleSchool,G-06,A,English,F,Mum,72,21,22,26,Yes,Good,Under_7,H,35.29,2
M,Palestine,Jordan,MiddleSchool,G-06,A,English,S,Mum,92,31,42,27,Yes,Good,Under_7,H,48.18,2
M,Palestine,Jordan,MiddleSchool,G-06,A,English,F,Mum,82,31,52,25,No,Good,Under_7,M,47.72,1
M,Palestine,Jordan,MiddleSchool,G-06,A,English,S,Mum,72,41,46,27,No,Good,Under_7,M,46.72,1
M,Iraq,Iraq,MiddleSchool,G-06,A,English,F,Mum,74,71,56,37,No,Good,Under_7,H,59.9,2
M,Iraq,Iraq,MiddleSchool,G-06,A,English,S,Mum,74,60,56,37,No,Good,Under_7,H,57.12,2
F,Jordan,Jordan,MiddleSchool,G-06,A,English,F,Mum,95,94,72,80,No,Good,Under_7,H,86.01,2
F,Jordan,Jordan,MiddleSchool,G-06,A,English,S,Mum,97,87,82,86,No,Good,Under_7,H,88.82,2
M,Jordan,Jordan,MiddleSchool,G-06,A,English,F,Father,40,38,32,36,No,Bad,Above_7,M,36.69,1
M,Jordan,Jordan,MiddleSchool,G-06,A,English,S,Father,41,39,35,39,Yes,Bad,Above_7,M,38.72,1
F,Jordan,Jordan,MiddleSchool,G-06,A,English,F,Mum,51,79,85,89,Yes,Good,Under_7,H,76.83,2
F,Jordan,Jordan,MiddleSchool,G-06,A,English,S,Mum,81,79,91,85,Yes,Good,Under_7,H,84.84,2
M,Palestine,Jordan,MiddleSchool,G-06,A,English,F,Mum,71,70,65,69,Yes,Good,Under_7,M,69.36,1
M,Palestine,Jordan,MiddleSchool,G-06,A,English,S,Mum,75,71,76,80,Yes,Good,Under_7,M,76.22,1
F,Jordan,Jordan,lowerlevel,G-04,A,Science,F,Father,49,36,32,44,No,Bad,Above_7,L,40.47,0
F,Jordan,Jordan,lowerlevel,G-04,A,Science,S,Father,42,24,12,24,No,Bad,Above_7,L,25.49,0
F,Palestine,Palestine,lowerlevel,G-04,A,Science,F,Mum,90,86,82,74,Yes,Good,Under_7,H,83.76,2
F,Palestine,Palestine,lowerlevel,G-04,A,Science,S,Mum,62,64,72,84,Yes,Good,Under_7,H,71.2,2
M,Iraq,Iraq,lowerlevel,G-04,A,Science,F,Father,90,86,82,74,Yes,Good,Above_7,M,83.76,1
M,Iraq,Iraq,lowerlevel,G-04,A,Science,S,Father,62,64,72,84,Yes,Good,Above_7,M,71.2,1
F,Jordan,Jordan,lowerlevel,G-04,A,Science,F,Mum,98,87,86,84,No,Good,Under_7,H,89.58,2
F,Jordan,Jordan,lowerlevel,G-04,A,Science,S,Mum,72,74,82,89,No,Good,Under_7,H,80.05,2
M,Jordan,Jordan,lowerlevel,G-04,A,Science,F,Father,18,17,26,34,No,Good,Above_7,M,23.84,1
M,Jordan,Jordan,lowerlevel,G-04,A,Science,S,Father,32,14,32,29,No,Good,Above_7,M,26.84,1
M,Jordan,Jordan,lowerlevel,G-04,A,Science,F,Father,10,12,20,13,No,Bad,Above_7,L,13.69,0
M,Jordan,Jordan,lowerlevel,G-04,A,Science,S,Father,22,34,15,9,No,Bad,Above_7,L,19.95,0
F,Jordan,Jordan,lowerlevel,G-04,B,Science,F,Mum,11,20,21,23,No,Bad,Under_7,M,18.77,1
F,Jordan,Jordan,lowerlevel,G-04,B,Science,S,Mum,12,44,25,39,No,Bad,Under_7,M,30.18,1
F,Jordan,Jordan,lowerlevel,G-04,B,Science,F,Father,15,50,24,43,Yes,Bad,Under_7,M,33.21,1
F,Jordan,Jordan,lowerlevel,G-04,B,Science,S,Father,32,44,29,89,Yes,Bad,Under_7,M,48.96,1
M,Jordan,Jordan,lowerlevel,G-04,B,Science,F,Mum,65,59,74,83,Yes,Good,Under_7,H,70.94,2
M,Jordan,Jordan,lowerlevel,G-04,B,Science,S,Mum,72,64,59,89,Yes,Good,Under_7,H,71.66,2
M,Palestine,Jordan,lowerlevel,G-04,B,Science,F,Mum,95,57,74,89,Yes,Good,Above_7,M,79.47,1
M,Palestine,Jordan,lowerlevel,G-04,B,Science,S,Mum,82,84,79,79,Yes,Good,Above_7,M,81.76,1
M,Jordan,Jordan,lowerlevel,G-04,B,Science,F,Father,25,29,34,33,No,Good,Above_7,M,30.41,1
M,Jordan,Jordan,lowerlevel,G-04,B,Science,S,Father,42,34,29,39,No,Good,Above_7,M,36.18,1
F,Jordan,Jordan,lowerlevel,G-04,B,Science,F,Mum,55,79,44,43,Yes,Good,Under_7,H,55.64,2
F,Jordan,Jordan,lowerlevel,G-04,B,Science,S,Mum,62,64,69,49,Yes,Good,Under_7,H,61.51,2
F,Jordan,Lebanon,lowerlevel,G-04,B,Science,F,Mum,78,88,74,83,Yes,Good,Under_7,H,81.52,2
F,Jordan,Lebanon,lowerlevel,G-04,B,Science,S,Mum,72,84,89,89,Yes,Good,Under_7,H,84.37,2
M,Jordan,Jordan,lowerlevel,G-02,A,French,F,Mum,60,92,83,23,Yes,Good,Under_7,H,65.02,2
M,Jordan,Jordan,lowerlevel,G-02,A,French,S,Mum,50,90,83,13,Yes,Good,Under_7,H,59.46,2
F,Jordan,Jordan,lowerlevel,G-02,A,French,F,Mum,60,97,13,3,Yes,Good,Under_7,H,43.32,2
F,Jordan,Jordan,lowerlevel,G-02,A,French,S,Mum,50,95,23,10,Yes,Good,Under_7,H,44.65,2
F,Jordan,Jordan,lowerlevel,G-02,A,French,F,Mum,60,87,23,11,Yes,Good,Above_7,M,45.39,1
F,Jordan,Jordan,lowerlevel,G-02,A,French,S,Mum,50,80,20,15,Yes,Good,Above_7,M,41.38,1
M,Jordan,Jordan,lowerlevel,G-02,A,French,F,Father,10,15,10,21,No,Bad,Above_7,L,13.94,0
M,Jordan,Jordan,lowerlevel,G-02,A,French,S,Father,30,10,20,5,No,Bad,Above_7,L,16.15,0
M,Syria,Syria,lowerlevel,G-02,A,French,F,Father,24,35,18,31,No,Bad,Under_7,M,27.08,1
M,Syria,Syria,lowerlevel,G-02,A,French,S,Father,27,20,33,35,No,Bad,Under_7,M,28.89,1
M,Jordan,Jordan,lowerlevel,G-02,A,French,F,Father,10,15,10,21,No,Bad,Above_7,L,13.94,0
M,Jordan,Jordan,lowerlevel,G-02,A,French,S,Father,30,10,20,5,No,Bad,Above_7,L,16.15,0
F,Jordan,Palestine,lowerlevel,G-02,A,French,F,Mum,80,77,63,83,Yes,Good,Under_7,M,76.43,1
F,Jordan,Palestine,lowerlevel,G-02,A,French,S,Mum,75,85,73,80,Yes,Good,Under_7,M,78.99,1
M,Jordan,Jordan,lowerlevel,G-02,A,French,F,Father,40,7,50,41,No,Good,Above_7,L,34.73,0
M,Jordan,Jordan,lowerlevel,G-02,A,French,S,Father,35,2,29,33,No,Good,Above_7,L,24.82,0
F,Jordan,Jordan,lowerlevel,G-02,A,French,F,Mum,10,90,30,21,No,Good,Under_7,M,37.98,1
F,Jordan,Jordan,lowerlevel,G-02,A,French,S,Mum,25,80,29,23,No,Good,Under_7,M,39.46,1
M,Lybia,Lybia,lowerlevel,G-02,A,French,F,Mum,10,8,9,3,No,Good,Above_7,L,7.33,0
M,Lybia,Lybia,lowerlevel,G-02,A,French,S,Mum,15,7,12,7,No,Good,Above_7,L,10.11,0
F,Palestine,Jordan,lowerlevel,G-02,A,French,F,Mum,70,90,20,21,No,Good,Under_7,M,50.43,1
F,Palestine,Jordan,lowerlevel,G-02,A,French,S,Mum,75,80,15,20,No,Good,Under_7,M,47.63,1
F,Palestine,Jordan,lowerlevel,G-02,B,French,F,Father,78,98,10,11,No,Good,Under_7,M,49.35,1
F,Palestine,Jordan,lowerlevel,G-02,B,French,S,Father,79,89,11,14,No,Good,Under_7,M,48.35,1
F,Iraq,Iraq,lowerlevel,G-02,B,French,F,Father,16,90,15,11,No,Good,Under_7,M,33.1,1
F,Iraq,Iraq,lowerlevel,G-02,B,French,S,Father,17,80,13,10,No,Good,Under_7,M,30.06,1
M,Jordan,Jordan,lowerlevel,G-02,B,French,F,Mum,40,87,50,41,No,Bad,Under_7,M,54.93,1
M,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,35,92,29,33,No,Bad,Under_7,M,47.54,1
F,Jordan,Jordan,lowerlevel,G-02,B,French,F,Mum,14,97,15,14,No,Good,Under_7,H,35.14,2
F,Jordan,Jordan,lowerlevel,G-02,B,French,F,Mum,13,82,20,30,No,Good,Under_7,H,36.46,2
F,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,24,97,15,14,No,Good,Under_7,H,37.64,2
F,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,23,82,20,30,No,Good,Under_7,H,38.96,2
M,Lybia,Lybia,lowerlevel,G-02,B,French,F,Mum,20,3,9,3,No,Good,Above_7,L,8.56,0
M,Lybia,Lybia,lowerlevel,G-02,B,French,S,Mum,15,4,12,7,No,Good,Above_7,L,9.35,0
M,Egypt,Egypt,lowerlevel,G-02,B,French,F,Mum,5,13,6,6,No,Good,Above_7,L,7.34,0
M,Egypt,Egypt,lowerlevel,G-02,B,French,S,Mum,7,9,11,10,No,Good,Above_7,L,9.12,0
F,Jordan,Jordan,lowerlevel,G-02,B,French,F,Mum,10,94,40,11,Yes,Good,Under_7,M,38.99,1
F,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,25,89,21,13,Yes,Good,Under_7,M,37.14,1
M,Jordan,Jordan,lowerlevel,G-02,B,French,F,Mum,30,98,42,21,Yes,Good,Under_7,H,48.06,2
M,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,35,97,41,23,Yes,Good,Under_7,H,49.32,2
M,Jordan,Jordan,lowerlevel,G-02,B,French,F,Father,32,88,32,25,Yes,Good,Under_7,M,44.51,1
M,Jordan,Jordan,lowerlevel,G-02,B,French,S,Father,25,87,21,27,Yes,Good,Under_7,M,40.21,1
F,Lebanon,Lebanon,lowerlevel,G-02,B,French,F,Mum,72,98,52,15,Yes,Good,Under_7,H,59.58,2
F,Lebanon,Lebanon,lowerlevel,G-02,B,French,S,Mum,75,90,51,17,Yes,Good,Under_7,H,58.57,2
M,Jordan,Jordan,lowerlevel,G-02,A,Arabic,F,Father,20,88,31,28,Yes,Good,Above_7,M,42.02,1
M,Jordan,Jordan,lowerlevel,G-02,A,Arabic,S,Father,10,98,41,38,Yes,Good,Above_7,M,47.15,1
M,Palestine,Jordan,lowerlevel,G-02,A,Arabic,F,Father,90,98,41,38,Yes,Good,Under_7,H,67.15,2
M,Palestine,Jordan,lowerlevel,G-02,A,Arabic,S,Father,80,88,51,39,Yes,Good,Under_7,H,64.93,2
M,Iraq,Iraq,lowerlevel,G-02,A,Arabic,F,Father,80,95,21,28,Yes,Good,Under_7,H,56.23,2
M,Iraq,Iraq,lowerlevel,G-02,A,Arabic,S,Father,78,70,31,29,Yes,Good,Under_7,H,52.23,2
M,Jordan,Jordan,lowerlevel,G-02,A,Arabic,F,Father,10,18,71,38,Yes,Good,Above_7,M,34.6,1
M,Jordan,Jordan,lowerlevel,G-02,A,Arabic,S,Father,10,58,51,48,Yes,Good,Above_7,M,42.15,1
F,Palestine,Jordan,lowerlevel,G-02,A,Arabic,F,Mum,98,88,60,31,No,Good,Under_7,H,69.68,2
F,Palestine,Jordan,lowerlevel,G-02,A,Arabic,S,Mum,75,81,51,34,No,Good,Under_7,H,60.63,2
M,Jordan,Jordan,lowerlevel,G-02,A,Arabic,F,Father,10,17,50,21,No,Bad,Under_7,M,24.65,1
M,Jordan,Jordan,lowerlevel,G-02,A,Arabic,S,Father,35,2,29,23,No,Bad,Under_7,M,22.27,1
F,Jordan,Jordan,lowerlevel,G-02,A,Arabic,F,Father,10,20,22,97,No,Bad,Above_7,L,37.65,0
F,Jordan,Jordan,lowerlevel,G-02,A,Arabic,S,Father,5,9,19,98,No,Bad,Above_7,L,33.11,0
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,F,Father,10,10,40,51,No,Bad,Above_7,L,27.98,0
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,S,Father,35,2,29,23,No,Bad,Above_7,L,22.27,0
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,F,Mum,20,90,50,61,Yes,Bad,Above_7,M,55.79,1
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,S,Mum,32,82,59,63,Yes,Bad,Above_7,M,59.57,1
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,F,Father,10,30,50,91,Yes,Bad,Above_7,L,45.79,0
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,S,Father,12,22,59,83,Yes,Bad,Above_7,L,44.52,0
F,Jordan,Jordan,lowerlevel,G-02,B,Arabic,F,Father,11,20,20,98,No,Bad,Above_7,L,37.65,0
F,Jordan,Jordan,lowerlevel,G-02,B,Arabic,S,Father,10,12,29,93,No,Bad,Above_7,L,36.4,0
M,Iraq,Iraq,lowerlevel,G-02,B,Arabic,F,Mum,69,82,20,28,Yes,Good,Under_7,H,49.95,2
M,Iraq,Iraq,lowerlevel,G-02,B,Arabic,S,Mum,70,83,29,33,Yes,Good,Under_7,H,54.02,2
F,Iraq,Iraq,lowerlevel,G-02,B,Arabic,F,Mum,89,92,40,28,Yes,Good,Under_7,H,62.57,2
F,Iraq,Iraq,lowerlevel,G-02,B,Arabic,S,Mum,79,93,49,23,Yes,Good,Under_7,H,61.35,2
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,F,Mum,15,90,21,97,Yes,Good,Under_7,M,56.32,1
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,S,Mum,20,77,31,88,Yes,Good,Under_7,M,54.55,1
M,Jordan,Saudiarabia,lowerlevel,G-02,B,Arabic,F,Mum,4,10,11,7,No,Good,Above_7,L,7.86,0
M,Jordan,Saudiarabia,lowerlevel,G-02,B,Arabic,S,Mum,5,0,1,8,No,Good,Above_7,L,3.29,0
F,Jordan,Jordan,MiddleSchool,G-07,A,Biology,F,Mum,88,81,50,10,Yes,Good,Above_7,M,57.51,1
F,Jordan,Jordan,MiddleSchool,G-07,A,Biology,S,Mum,90,88,54,12,Yes,Good,Above_7,M,61.3,1
F,Iraq,Iraq,MiddleSchool,G-07,A,Biology,F,Mum,86,98,50,20,Yes,Good,Under_7,H,63.85,2
F,Iraq,Iraq,MiddleSchool,G-07,A,Biology,S,Mum,90,90,57,22,Yes,Good,Under_7,H,65.13,2
M,Jordan,Palestine,MiddleSchool,G-07,A,Biology,F,Mum,78,91,50,40,Yes,Good,Under_7,H,65.18,2
M,Jordan,Palestine,MiddleSchool,G-07,A,Biology,S,Mum,70,98,54,72,Yes,Good,Under_7,H,74.14,2
M,Jordan,Jordan,MiddleSchool,G-07,A,Biology,F,Father,80,80,46,61,Yes,Bad,Under_7,M,67.24,1
M,Jordan,Jordan,MiddleSchool,G-07,A,Biology,S,Father,85,82,59,63,Yes,Bad,Under_7,M,72.82,1
M,Palestine,Palestine,MiddleSchool,G-07,A,Biology,F,Father,88,90,86,81,Yes,Good,Under_7,H,87.07,2
M,Palestine,Palestine,MiddleSchool,G-07,A,Biology,S,Father,89,92,89,83,Yes,Good,Under_7,H,89.1,2
M,Jordan,Jordan,MiddleSchool,G-07,A,Biology,F,Father,39,71,40,26,No,Good,Above_7,M,44.26,1
M,Jordan,Jordan,MiddleSchool,G-07,A,Biology,S,Father,35,80,34,22,No,Good,Above_7,M,42.98,1
M,Jordan,Jordan,MiddleSchool,G-07,A,Biology,F,Father,76,81,80,86,No,Good,Under_7,H,81.55,2
M,Jordan,Jordan,MiddleSchool,G-07,A,Biology,S,Father,65,89,64,82,No,Good,Under_7,H,75.71,2
F,Syria,Syria,MiddleSchool,G-07,A,Biology,F,Mum,96,95,70,70,Yes,Good,Under_7,H,83.45,2
F,Syria,Syria,MiddleSchool,G-07,A,Biology,S,Mum,80,91,87,72,Yes,Good,Under_7,H,83.29,2
M,Jordan,Jordan,MiddleSchool,G-07,A,Biology,F,Mum,2,9,10,1,No,Bad,Above_7,L,5.32,0
M,Jordan,Jordan,MiddleSchool,G-07,A,Biology,S,Mum,3,8,19,3,No,Bad,Above_7,L,8.13,0
M,Jordan,Jordan,MiddleSchool,G-07,B,Biology,F,Father,50,79,10,31,No,Bad,Under_7,M,42.65,1
M,Jordan,Jordan,MiddleSchool,G-07,B,Biology,S,Father,53,88,9,33,No,Bad,Under_7,M,45.93,1
F,Jordan,Jordan,MiddleSchool,G-07,B,Biology,F,Mum,70,89,12,21,No,Good,Under_7,H,48.14,2
F,Jordan,Jordan,MiddleSchool,G-07,B,Biology,S,Mum,59,90,19,43,No,Good,Under_7,H,53.04,2
M,Palestine,Jordan,MiddleSchool,G-07,B,Biology,F,Father,78,80,66,51,Yes,Good,Under_7,M,69.29,1
M,Palestine,Jordan,MiddleSchool,G-07,B,Biology,S,Father,79,72,79,83,Yes,Good,Under_7,M,79.0,1
F,Lybia,Lybia,MiddleSchool,G-07,B,Biology,F,Mum,10,9,2,1,No,Good,Above_7,L,5.28,0
F,Lybia,Lybia,MiddleSchool,G-07,B,Biology,S,Mum,9,7,9,3,No,Good,Above_7,L,6.82,0
M,Iraq,Iraq,MiddleSchool,G-07,B,Biology,F,Father,98,90,86,71,Yes,Good,Under_7,H,87.02,2
M,Iraq,Iraq,MiddleSchool,G-07,B,Biology,S,Father,89,92,89,83,Yes,Good,Under_7,H,89.1,2
M,Palestine,Jordan,MiddleSchool,G-07,B,Biology,F,Father,88,90,76,81,Yes,Good,Under_7,H,84.52,2
M,Palestine,Jordan,MiddleSchool,G-07,B,Biology,S,Father,99,96,89,84,Yes,Good,Under_7,H,92.87,2
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Mum,82,89,22,31,Yes,Good,Under_7,H,56.24,2
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Mum,84,92,29,43,Yes,Good,Under_7,H,62.34,2
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Mum,70,69,46,45,Yes,Good,Above_7,M,57.88,1
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Mum,74,62,49,43,Yes,Good,Above_7,M,57.37,1
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Mum,90,79,76,79,Yes,Good,Under_7,H,81.74,2
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Mum,84,77,79,68,Yes,Good,Under_7,H,77.69,2
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Mum,80,80,62,11,Yes,Good,Above_7,M,58.57,1
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Mum,81,82,69,13,Yes,Good,Above_7,M,61.62,1
M,Jordan,Saudiarabia,MiddleSchool,G-08,A,Chemistry,F,Father,10,0,2,41,No,Bad,Above_7,L,13.21,0
M,Jordan,Saudiarabia,MiddleSchool,G-08,A,Chemistry,S,Father,11,2,9,49,No,Bad,Above_7,L,17.8,0
M,Jordan,Saudiarabia,MiddleSchool,G-08,A,Geology,F,Father,85,89,22,61,No,Bad,Under_7,H,64.64,2
M,Jordan,Saudiarabia,MiddleSchool,G-08,A,Geology,S,Father,80,89,23,68,No,Bad,Under_7,H,65.43,2
M,Jordan,Saudiarabia,MiddleSchool,G-08,A,Geology,F,Father,95,87,62,81,No,Bad,Under_7,M,81.94,1
M,Jordan,Saudiarabia,MiddleSchool,G-08,A,Geology,S,Father,87,79,73,98,No,Bad,Under_7,M,85.07,1
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Mum,85,87,72,10,Yes,Good,Above_7,M,63.88,1
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Mum,79,88,79,20,Yes,Good,Above_7,M,66.97,1
M,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Mum,80,81,71,30,Yes,Good,Under_7,M,65.96,1
M,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Mum,70,83,70,23,Yes,Good,Under_7,M,61.93,1
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Mum,80,82,76,19,Yes,Good,Under_7,M,64.69,1
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Mum,70,82,75,29,Yes,Good,Under_7,M,64.48,1
M,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Mum,89,87,86,15,Yes,Good,Under_7,M,69.73,1
M,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Mum,90,86,85,10,Yes,Good,Under_7,M,68.2,1
M,Jordan,Jordan,MiddleSchool,G-08,A,History,F,Mum,69,77,76,75,Yes,Good,Above_7,M,74.96,1
M,Jordan,Jordan,MiddleSchool,G-08,A,History,S,Mum,70,76,65,70,Yes,Good,Above_7,M,70.88,1
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Mum,75,72,64,39,Yes,Good,Above_7,L,62.95,0
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Mum,72,76,66,40,Yes,Good,Above_7,L,63.98,0
